NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,IMPORTO_EROGATO,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
7EVEN TOWER,91174900356,91174900356,CERTIFICATI BIANCHI,CAR001685,378.13,euro,8,2023
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002122,983.41,euro,2,2023
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002122,1720.98,euro,6,2023
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002123,2458.53,euro,2,2023
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002123,4425.36,euro,6,2023
A2A AIRPORT ENERGY S.P.A.,10624440151,10624440151,CERTIFICATI BIANCHI,CAR002971,2737102.5,euro,7,2023
ABBAZIA DI PRAGLIA,00498930288,00863870283,CERTIFICATI BIANCHI,CAR003222,5185.95,euro,10,2023
ABBAZIA DI PRAGLIA,00498930288,00863870283,CERTIFICATI BIANCHI,CAR003223,5185.95,euro,10,2023
ABK GROUP INDUSTRIE CERAMICHE S.P.A.,02097380360,02097380360,CERTIFICATI BIANCHI,CAR002903,268963.77,euro,1,2023
ABK GROUP INDUSTRIE CERAMICHE S.P.A.,02097380360,02097380360,CERTIFICATI BIANCHI,CAR002903,216842.82,euro,5,2023
ABK GROUP INDUSTRIE CERAMICHE S.P.A.,02097380360,02097380360,CERTIFICATI BIANCHI,CAR002904,277568.65,euro,1,2023
ABK GROUP INDUSTRIE CERAMICHE S.P.A.,02097380360,02097380360,CERTIFICATI BIANCHI,CAR002904,212663.31,euro,5,2023
ACEA PINEROLESE ENERGIA SRL,08547890015,08547890015,CERTIFICATI BIANCHI,CAR002341,5667.23,euro,4,2023
ACEA PINEROLESE ENERGIA SRL,08547890015,08547890015,CERTIFICATI BIANCHI,CAR002364,4188.82,euro,4,2023
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR001795,1220391.91,euro,4,2023
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR001795,941039.95,euro,10,2023
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR001798,1356676.2,euro,4,2023
