NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,IMPORTO_EROGATO,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
7EVEN TOWER,91174900356,91174900356,CERTIFICATI BIANCHI,CAR001683,567.2,euro,12,2021
7EVEN TOWER,91174900356,91174900356,CERTIFICATI BIANCHI,CAR001684,378.13,euro,12,2021
7EVEN TOWER,91174900356,91174900356,CERTIFICATI BIANCHI,CAR001685,189.07,euro,12,2021
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002122,3196.09,euro,6,2021
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002123,3196.09,euro,6,2021
ACEA PINEROLESE ENERGIA SRL,08547890015,08547890015,CERTIFICATI BIANCHI,CAR002341,6652.83,euro,5,2021
ACEA PINEROLESE ENERGIA SRL,08547890015,08547890015,CERTIFICATI BIANCHI,CAR002364,4928.02,euro,6,2021
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR001795,1525952.39,euro,10,2021
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR001798,1603029.27,euro,10,2021
ACHILUZZI STEFANO,*************,,CERTIFICATI BIANCHI,CAR000425,185.08,euro,7,2021
AEVV IMPIANTI SRL,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001856,4316.7,euro,10,2021
AEVV IMPIANTI SRL,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001857,4933.37,euro,10,2021
AEVV IMPIANTI SRL,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001858,6475.05,euro,9,2021
AEVV IMPIANTI SRL,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001958,33608.57,euro,10,2021
AGENZIA PER IL DIRITTO ALLO STUDIO UNIVERSITARIO DELL'UMBRIA,00453460545,00453460545,CERTIFICATI BIANCHI,CAR001329,314.32,euro,7,2021
AGENZIA PER IL DIRITTO ALLO STUDIO UNIVERSITARIO DELL'UMBRIA,00453460545,00453460545,CERTIFICATI BIANCHI,CAR001379,386.82,euro,7,2021
ALBA DEL BORGO SOCIETA AGRICOLA S.S.,02579360344,02579360344,CERTIFICATI BIANCHI,CAR001109,418.16,euro,1,2021
ALBA DEL BORGO SOCIETA AGRICOLA S.S.,02579360344,02579360344,CERTIFICATI BIANCHI,CAR001109,418.16,euro,6,2021
ALBERGO RISTORANTE F.LLI FABBRINI SRL,00101900512,00101900512,CERTIFICATI BIANCHI,CAR001680,7751.65,euro,12,2021
ALI S.R.L.,02148390301,02148390301,CERTIFICATI BIANCHI,CAR001784,17228.42,euro,7,2021
ARIEL SRL,01933230227,01933230227,CERTIFICATI BIANCHI,CAR001846,2768.85,euro,6,2021
ARTSANA SPA,00227010139,00227010139,CERTIFICATI BIANCHI,CAR002261,139535.78,euro,5,2021
ARUBA S.P.A.,04552920482,01573850516,CERTIFICATI BIANCHI,CAR001833,524236.13,euro,9,2021
ASSOCIAZIONE SPORTIVA DILETTANTISTICA SPORTING CLUB MILANO 2,91502440158,06927020153,CERTIFICATI BIANCHI,CAR001938,23996.73,euro,6,2021
AUTOHOTEL RAVENNA SAS DI NITTI GIORGIO FEDERICO E C.,04007261003,04007261003,CERTIFICATI BIANCHI,CAR001335,1814.87,euro,4,2021
AUTOHOTEL RAVENNA SAS DI NITTI GIORGIO FEDERICO E C.,04007261003,04007261003,CERTIFICATI BIANCHI,CAR001335,1020.87,euro,7,2021
AZIENDA SERVIZI ALLA PERSONA (ASP) DEI COMUNI DELLA BASSA ROMAGNA,02295380394,02295380394,CERTIFICATI BIANCHI,CAR001332,452.43,euro,1,2021
AZIENDA SERVIZI ALLA PERSONA (ASP) DEI COMUNI DELLA BASSA ROMAGNA,02295380394,02295380394,CERTIFICATI BIANCHI,CAR001334,109.09,euro,1,2021
AZIENDA USL TOSCANA NORD OVEST,02198590503,02198590503,CERTIFICATI BIANCHI,CAR001072,19930.96,euro,7,2021
AZIENDA USL TOSCANA NORD OVEST,02198590503,02198590503,CERTIFICATI BIANCHI,CAR001298,68979.53,euro,7,2021
AZIENDA USL TOSCANA NORD OVEST,02198590503,02198590503,CERTIFICATI BIANCHI,CAR001774,89058.42,euro,6,2021
B. IMMOBILIARE S.A.S.,02307910352,02307910352,CERTIFICATI BIANCHI,CAR002205,560.2,euro,11,2021
B. IMMOBILIARE S.A.S.,02307910352,02307910352,CERTIFICATI BIANCHI,CAR002205,574.2,euro,12,2021
BELLAVISTA RELAX S.R.L.,00836890228,00836890228,CERTIFICATI BIANCHI,CAR001654,3970.37,euro,1,2021
BELLAVISTA RELAX S.R.L.,00836890228,00836890228,CERTIFICATI BIANCHI,CAR001654,2457.85,euro,8,2021
BEZZI FABRIZIO,*************,,CERTIFICATI BIANCHI,CAR000764,435.7,euro,6,2021
BIBO ITALIA S.P.A.,00513220012,00513220012,CERTIFICATI BIANCHI,CAR001877,100909.3,euro,9,2021
BLU SOCIETA' SPORTIVA DILETTANTISTICA A RESPONSABILITA' LIMITATA,02278440207,02278440207,CERTIFICATI BIANCHI,CAR001504,2457.85,euro,9,2021
BLU SOCIETA' SPORTIVA DILETTANTISTICA A RESPONSABILITA' LIMITATA,02278440207,02278440207,CERTIFICATI BIANCHI,CAR001505,2079.72,euro,9,2021
BONACINI STEFANO,*************,,CERTIFICATI BIANCHI,CAR001976,2153.56,euro,6,2021
BONACINI STEFANO,*************,,CERTIFICATI BIANCHI,CAR001976,922.96,euro,7,2021
BONI FAUSTINO,*************,,CERTIFICATI BIANCHI,CAR001155,209.07,euro,7,2021
BORGWARNER MORSE SYSTEMS ITALY S.R.L.,06749560154,06749560154,CERTIFICATI BIANCHI,CAR001868,146751.85,euro,6,2021
BRIZIO SRL,00647770049,00647770049,CERTIFICATI BIANCHI,CAR001941,7383.6,euro,6,2021
BROCANTE S.R.L.,04153700374,04153700374,CERTIFICATI BIANCHI,CAR001966,2153.56,euro,1,2021
BRUTTI MASSIMO,BRTMSM63A28M172B,02786220232,CERTIFICATI BIANCHI,CAR001974,1940.9,euro,7,2021
C.I.D.A.S. SOC. COOP. A R.L. SOCIETA' COOPERATIVA,00463980383,00463980383,CERTIFICATI BIANCHI,CAR002627,987.8,euro,11,2021
CAMPARINI ARVEDO,*************,,CERTIFICATI BIANCHI,CAR000412,185.08,euro,6,2021
CARTIERA DI FERRARA S.P.A.,01442090385,01442090385,CERTIFICATI BIANCHI,CAR001914,541772.2,euro,7,2021
CARTIERA SAN LORENZO SRL,01558930473,01558930473,CERTIFICATI BIANCHI,CAR002024,436863.44,euro,8,2021
CARTIERE ERMOLLI SPA,02415380308,02415380308,CERTIFICATI BIANCHI,CAR002069,1212757.52,euro,10,2021
CASA ASSISTENZA ANZIANI A.TOBLINI,02237200239,02237200239,CERTIFICATI BIANCHI,CAR002043,4625.03,euro,7,2021
CASA ASSISTENZA ANZIANI A.TOBLINI,02237200239,02237200239,CERTIFICATI BIANCHI,CAR002044,5241.7,euro,7,2021
CASALGRANDE PADANA S.P.A.,01622500369,01270230350,CERTIFICATI BIANCHI,CAR001863,425480.38,euro,8,2021
CENTRICA BUSINESS SOLUTIONS ITALIA S.R.L.,06694060960,06694060960,CERTIFICATI BIANCHI,CAR001869,47993.45,euro,11,2021
CENTRICA BUSINESS SOLUTIONS ITALIA S.R.L.,06694060960,06694060960,CERTIFICATI BIANCHI,CAR001902,36302.74,euro,11,2021
CENTRICA BUSINESS SOLUTIONS ITALIA S.R.L.,06694060960,06694060960,CERTIFICATI BIANCHI,CAR001995,36510.97,euro,11,2021
CENTRICA BUSINESS SOLUTIONS ITALIA S.R.L.,06694060960,06694060960,CERTIFICATI BIANCHI,CAR002029,174437.73,euro,11,2021
CENTRICA BUSINESS SOLUTIONS ITALIA S.R.L.,06694060960,06694060960,CERTIFICATI BIANCHI,CAR002625,173207.13,euro,11,2021
